"","country","d","mean_ratio","mean_RMSE","rf"
"585","Honduras",23,1,11754.8167166077,1
"586","Honduras",24,1,11825.3210644546,1
"587","Honduras",25,1,11825.3210644546,1
"588","Honduras",26,1,11825.3210644546,1
"589","Honduras",27,1,11611.2235531601,1
"590","Honduras",28,NA,11049.7732381389,NA
"591","Jamaica",0,0.705401257254607,11806.1306438432,1.41763285749158
"592","Jamaica",1,0.755258784114925,11809.4393370521,1.3240494795064
"593","Jamaica",2,0.794171657944374,11809.4393370521,1.25917361819281
"594","Jamaica",3,0.842208609991034,11825.3210644546,1.18735428270039
"595","Jamaica",4,0.934701924189564,11825.3210644546,1.06985978537174
"596","Jamaica",5,0.964212831660207,11809.4393370521,1.03711542427637
"597","Jamaica",6,0.996392496392496,11809.4619895439,1.00362056480811
"598","Jamaica",7,1,11809.4619895439,1
"599","Jamaica",8,1,11795.492301904,1
"600","Jamaica",9,1,11825.3210644546,1
"601","Jamaica",10,1,11806.1306438432,1
"602","Jamaica",11,1,11786.1614158957,1
"603","Jamaica",12,1,11805.8576543369,1
"604","Jamaica",13,1,11788.3902155824,1
"605","Jamaica",14,1,11825.3210644546,1
