"","country","iso3","Year","Month","date","cases","source"
"3936","St. Kitts & Nevis","KNA",2026,12,2026-12-01,NA,NA
"3937","St. Lucia","LCA",2025,1,2025-01-01,8,"PAHO"
"3938","St. Lucia","LCA",2025,2,2025-02-01,10,"PAHO"
"3939","St. Lucia","LCA",2025,3,2025-03-01,6,"PAHO"
"3940","St. Lucia","LCA",2025,4,2025-04-01,6,"PAHO"
"3941","St. Lucia","LCA",2025,5,2025-05-01,1,"PAHO"
"3942","St. Lucia","LCA",2025,6,2025-06-01,8,"PAHO"
"3943","St. Lucia","LCA",2025,7,2025-07-01,3,"PAHO"
"3944","St. Lucia","LCA",2025,8,2025-08-01,1,"PAHO"
"3945","St. Lucia","LCA",2025,9,2025-09-01,2,"PAHO"
"3946","St. Lucia","LCA",2025,10,2025-10-01,3,"PAHO"
"3947","St. Lucia","LCA",2025,11,2025-11-01,1,"PAHO"
"3948","St. Lucia","LCA",2025,12,2025-12-01,-2,"WHO"
"3949","St. Lucia","LCA",2026,1,2026-01-01,0,"WHO"
"3950","St. Lucia","LCA",2026,2,2026-02-01,1,"PAHO"
"3951","St. Lucia","LCA",2026,3,2026-03-01,3,"PAHO"
"3952","St. Lucia","LCA",2026,4,2026-04-01,0,"WHO"
"3953","St. Lucia","LCA",2026,5,2026-05-01,0,"WHO"
"3954","St. Lucia","LCA",2026,6,2026-06-01,2,"PAHO"
"3955","St. Lucia","LCA",2026,7,2026-07-01,NA,NA
"3956","St. Lucia","LCA",2026,8,2026-08-01,NA,NA
"3957","St. Lucia","LCA",2026,9,2026-09-01,NA,NA
"3958","St. Lucia","LCA",2026,10,2026-10-01,NA,NA
"3959","St. Lucia","LCA",2026,11,2026-11-01,NA,NA
"3960","St. Lucia","LCA",2026,12,2026-12-01,NA,NA
"3961","St. Vincent & Grenadines","VCT",2025,1,2025-01-01,0,"WHO"
"3962","St. Vincent & Grenadines","VCT",2025,2,2025-02-01,2,"PAHO"
"3963","St. Vincent & Grenadines","VCT",2025,3,2025-03-01,0,"WHO"
"3964","St. Vincent & Grenadines","VCT",2025,4,2025-04-01,1,"PAHO"
"3965","St. Vincent & Grenadines","VCT",2025,5,2025-05-01,0,"WHO"
"3966","St. Vincent & Grenadines","VCT",2025,6,2025-06-01,2,"PAHO"
"3967","St. Vincent & Grenadines","VCT",2025,7,2025-07-01,0,"WHO"
"3968","St. Vincent & Grenadines","VCT",2025,8,2025-08-01,0,"WHO"
"3969","St. Vincent & Grenadines","VCT",2025,9,2025-09-01,0,"WHO"
"3970","St. Vincent & Grenadines","VCT",2025,10,2025-10-01,1,"PAHO"
"3971","St. Vincent & Grenadines","VCT",2025,11,2025-11-01,0,"WHO"
"3972","St. Vincent & Grenadines","VCT",2025,12,2025-12-01,2,"PAHO"
"3973","St. Vincent & Grenadines","VCT",2026,1,2026-01-01,1,"PAHO"
"3974","St. Vincent & Grenadines","VCT",2026,2,2026-02-01,1,"PAHO"
